Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.1076
5,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.3613
10,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.4162
15,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.46
20,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.4924
25,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.5196
30,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.5475
35,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.5657
40,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.5819
45,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.5968
50,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6083
55,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6201
60,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6222
65,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6303
70,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6391
75,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.645
80,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6486
85,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.655
90,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6572
95,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6615
100,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.668
105,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6717
110,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6735
115,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6766
120,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6766
125,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6807
130,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6808
135,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6837
140,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6854
145,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6878
150,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6915
155,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6931
160,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.6978
165,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.7033
170,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.7029
175,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.7027
180,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.7041
185,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.7077
190,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.7101
195,grid,corr,0.05,1.0,0.0088775510204081,0.005563126252505,0.1,0.711
