,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,centralized,0.005,0.001,0.0,0.027484768350550203,0,5000,0.3769172357706208
1,centralized,0.005,0.01,0.0,0.27484768350550204,0,5000,0.28120184020797684
2,centralized,0.005,0.1,0.0,2.7484768350550204,0,5000,0.11738687140105886
3,centralized,0.01,0.001,0.0,0.027484768350550203,0,5000,0.36319959921081807
4,centralized,0.01,0.01,0.0,0.27484768350550204,0,5000,0.22746887105935984
5,centralized,0.01,0.1,0.0,2.7484768350550204,0,5000,0.1259459502960451
6,centralized,0.05,0.001,0.0,0.027484768350550203,0,5000,0.2812343758858179
7,centralized,0.05,0.01,0.0,0.27484768350550204,0,5000,0.11742909397254116
8,centralized,0.05,0.1,0.0,2.7484768350550204,0,5000,0.7356380534490518
9,centralized,0.1,0.001,0.0,0.027484768350550203,0,5000,0.22756767962063934
10,centralized,0.1,0.01,0.0,0.27484768350550204,0,5000,0.12589861120836385
11,centralized,0.1,0.1,0.0,2.7484768350550204,0,5000,2.304003021814095
