,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.5,0.5,0.0017857142857142,0.0251748496993988,500,0.8934
1,ring,0.5,1.0,0.0035714285714285,0.0503496993987976,500,0.9053
2,ring,0.5,1.5,0.0053571428571428,0.0755245490981963,500,0.9085
3,ring,0.5,2.0,0.0071428571428571,0.1006993987975952,500,0.9106
4,ring,0.5,5.0,0.0178571428571428,0.251748496993988,500,0.9105
5,ring,1.0,0.5,0.0017857142857142,0.0251748496993988,500,0.9044
6,ring,1.0,1.0,0.0035714285714285,0.0503496993987976,500,0.9099
7,ring,1.0,1.5,0.0053571428571428,0.0755245490981963,500,0.914
8,ring,1.0,2.0,0.0071428571428571,0.1006993987975952,500,0.9134
9,ring,1.0,5.0,0.0178571428571428,0.251748496993988,500,0.9001
10,ring,2.0,0.5,0.0017857142857142,0.0251748496993988,500,0.9098
11,ring,2.0,1.0,0.0035714285714285,0.0503496993987976,500,0.914
12,ring,2.0,1.5,0.0053571428571428,0.0755245490981963,500,0.9101
13,ring,2.0,2.0,0.0071428571428571,0.1006993987975952,500,0.9071
14,ring,2.0,5.0,0.0178571428571428,0.251748496993988,500,0.884
15,ring,5.0,0.5,0.0017857142857142,0.0251748496993988,500,0.9123
16,ring,5.0,1.0,0.0035714285714285,0.0503496993987976,500,0.9031
17,ring,5.0,1.5,0.0053571428571428,0.0755245490981963,500,0.8922
18,ring,5.0,2.0,0.0071428571428571,0.1006993987975952,500,0.8857
19,ring,5.0,5.0,0.0178571428571428,0.251748496993988,500,0.8745
