,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.0008768728112995788,0,1000,0.6658
3,centralized,0.1,0.1,0.0008768728112995788,0,1000,0.7086
14,centralized,5.0,10.0,0.0876872811299579,0,1000,0.8401
11,centralized,1.0,10.0,0.0876872811299579,0,1000,0.8464
6,centralized,0.5,0.1,0.0008768728112995788,0,1000,0.8538
8,centralized,0.5,10.0,0.0876872811299579,0,1000,0.862
1,centralized,0.05,1.0,0.008768728112995788,0,1000,0.8669
13,centralized,5.0,1.0,0.008768728112995788,0,1000,0.8699
9,centralized,1.0,0.1,0.0008768728112995788,0,1000,0.884
4,centralized,0.1,1.0,0.008768728112995788,0,1000,0.8898
12,centralized,5.0,0.1,0.0008768728112995788,0,1000,0.9067
5,centralized,0.1,10.0,0.0876872811299579,0,1000,0.9069
2,centralized,0.05,10.0,0.0876872811299579,0,1000,0.9076
7,centralized,0.5,1.0,0.008768728112995788,0,1000,0.9081
10,centralized,1.0,1.0,0.008768728112995788,0,1000,0.9103
