Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.1076
5,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.1527
10,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.1654
15,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.1763
20,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.1906
25,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.2054
30,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.2202
35,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.2375
40,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.2521
45,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.2683
50,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.2863
55,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3012
60,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3156
65,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3299
70,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3432
75,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3568
80,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3671
85,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3787
90,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3908
95,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.3997
100,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4104
105,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4209
110,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4317
115,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4422
120,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4525
125,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4599
130,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4679
135,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4753
140,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4844
145,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4906
150,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.4977
155,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5055
160,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5111
165,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5175
170,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5213
175,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5264
180,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5331
185,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5386
190,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5433
195,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5478
200,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5516
205,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5556
210,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5609
215,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5647
220,centralized,cdp,0.1,0.1,0.00029373384282130777,0,0.5,0.5687
