,topology,lr,clip,momentum,sigma,sigma-cor,T,loss
0,ring,0.005,0.001,0.0,0.056947603745280365,0,5000,0.37823405895760676
1,ring,0.005,0.01,0.0,0.5694760374528036,0,5000,0.2907840575921378
2,ring,0.005,0.1,0.0,5.694760374528037,0,5000,0.21936120105845908
3,ring,0.01,0.001,0.0,0.056947603745280365,0,5000,0.3657346787412713
4,ring,0.01,0.01,0.0,0.5694760374528036,0,5000,0.24312768037090499
5,ring,0.01,0.1,0.0,5.694760374528037,0,5000,0.3895932221336753
6,ring,0.05,0.001,0.0,0.056947603745280365,0,5000,0.29080100930050873
7,ring,0.05,0.01,0.0,0.5694760374528036,0,5000,0.2193052027442655
8,ring,0.05,0.1,0.0,5.694760374528037,0,5000,4.096311673498952
9,ring,0.1,0.001,0.0,0.056947603745280365,0,5000,0.24317797749854136
10,ring,0.1,0.01,0.0,0.5694760374528036,0,5000,0.3890855927277639
11,ring,0.1,0.1,0.0,5.694760374528037,0,5000,13.386962076719628
