,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.0006588543618072275,0,1000,0.6655
1,ring,0.05,1.0,0.0065885436180722744,0,1000,0.8675
2,ring,0.05,10.0,0.06588543618072275,0,1000,0.9097
3,ring,0.1,0.1,0.0006588543618072275,0,1000,0.7089
4,ring,0.1,1.0,0.0065885436180722744,0,1000,0.8899
5,ring,0.1,10.0,0.06588543618072275,0,1000,0.9145
6,ring,0.5,0.1,0.0006588543618072275,0,1000,0.854
7,ring,0.5,1.0,0.0065885436180722744,0,1000,0.9092
8,ring,0.5,10.0,0.06588543618072275,0,1000,0.8875
9,ring,1.0,0.1,0.0006588543618072275,0,1000,0.8851
10,ring,1.0,1.0,0.0065885436180722744,0,1000,0.9151
11,ring,1.0,10.0,0.06588543618072275,0,1000,0.8759
12,ring,5.0,0.1,0.0006588543618072275,0,1000,0.9082
13,ring,5.0,1.0,0.0065885436180722744,0,1000,0.8951
14,ring,5.0,10.0,0.06588543618072275,0,1000,0.8684
