,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.0008849853530629944,0,1000,0.6659
3,ring,0.1,0.1,0.0008849853530629944,0,1000,0.7085
6,ring,0.5,0.1,0.0008849853530629944,0,1000,0.8537
14,ring,5.0,10.0,0.08849853530629942,0,1000,0.857
11,ring,1.0,10.0,0.08849853530629942,0,1000,0.8647
1,ring,0.05,1.0,0.008849853530629944,0,1000,0.8669
8,ring,0.5,10.0,0.08849853530629942,0,1000,0.8746
13,ring,5.0,1.0,0.008849853530629944,0,1000,0.8808
9,ring,1.0,0.1,0.0008849853530629944,0,1000,0.884
4,ring,0.1,1.0,0.008849853530629944,0,1000,0.8897
12,ring,5.0,0.1,0.0008849853530629944,0,1000,0.9064
5,ring,0.1,10.0,0.08849853530629942,0,1000,0.9071
2,ring,0.05,10.0,0.08849853530629942,0,1000,0.9077
7,ring,0.5,1.0,0.008849853530629944,0,1000,0.9078
10,ring,1.0,1.0,0.008849853530629944,0,1000,0.91
